time/iterations,time/total_timesteps,time/time_elapsed,train/reward,time/fps,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/learning_rate
1,2048,17,1.3918525,117,,,,,,,,,,,
2,4096,37,0.7081147,110,10,0.21796875,-0.026396916128578595,1.0005680322647095,16.14040736556053,-41.1567700624466,0.01594992,0.00696253776550293,5.608668327331543,0.2,0.00025
3,6144,56,-8.329201,107,20,0.156298828125,-0.015903426977456548,1.0024975538253784,111.42267198562622,-41.195928478240965,0.016220983,0.006490528583526611,62.09928894042969,0.2,0.00025
4,8192,77,-1.9553528,106,30,0.212255859375,-0.024152767099440097,1.0036009550094604,22.426430332660676,-41.23817417621613,0.01740672,-0.0006198883056640625,7.260695934295654,0.2,0.00025
5,10240,93,-4.792678,109,40,0.20009765625,-0.021540688496315852,1.0042649507522583,79.21996076107025,-41.26040632724762,0.022376355,-0.0004942417144775391,27.987083435058594,0.2,0.00025
6,12288,109,2.1430545,112,50,0.207177734375,-0.013541740250366275,1.0064204931259155,73.55874645709991,-41.29712796211243,0.018076539,-0.003461599349975586,28.933523178100586,0.2,0.00025
7,14336,123,8.079665,115,60,0.239208984375,-0.020261756685795263,1.0084142684936523,64.21629166603088,-41.36044065952301,0.022606121,0.009812653064727783,28.51063346862793,0.2,0.00025
8,16384,138,3.7070138,117,70,0.16064453125,-0.012891922917333432,1.00885009765625,90.01295228004456,-41.39904341697693,0.024151675,-0.004525661468505859,33.85453796386719,0.2,0.00025
9,18432,153,0.97040105,119,80,0.203076171875,-0.023057032393990085,1.011252999305725,47.16536728143692,-41.43077681064606,0.02237602,0.0018956661224365234,26.059595108032227,0.2,0.00025
10,20480,168,1.3946095,121,90,0.173291015625,-0.018078239685564768,1.012324571609497,96.6975802898407,-41.486057829856875,0.017355997,0.007696390151977539,38.05942916870117,0.2,0.00025
11,22528,183,-0.1985488,122,100,0.20908203125,-0.019874107354553416,1.0137529373168945,17.34129734635353,-41.521952509880066,0.019479288,-0.03759455680847168,8.615047454833984,0.2,0.00025
12,24576,198,-0.27060682,123,110,0.231201171875,-0.01863393279782031,1.0170153379440308,78.17633311748504,-41.58780446052551,0.025206499,-0.03055119514465332,40.038394927978516,0.2,0.00025
13,26624,213,2.9897995,124,120,0.263330078125,-0.017286914885335136,1.0197398662567139,28.652444100379945,-41.6813726902008,0.024642818,-0.007510066032409668,10.241389274597168,0.2,0.00025
14,28672,228,-6.453748,125,130,0.188134765625,-0.019112274932558647,1.0206298828125,100.48553259372711,-41.72551302909851,0.01599555,-0.004615902900695801,47.861114501953125,0.2,0.00025
15,30720,243,0.51152736,125,140,0.236572265625,-0.011990675133711192,1.0213202238082886,93.25130124092102,-41.74885528087616,0.018017344,0.003534853458404541,68.88066101074219,0.2,0.00025
16,32768,258,5.858588,126,150,0.262451171875,-0.012323832829133607,1.0225498676300049,77.22195208072662,-41.77220904827118,0.026344873,0.005885899066925049,41.38934326171875,0.2,0.00025
17,34816,273,2.1588378,127,160,0.245947265625,-0.014064826101821382,1.0247243642807007,100.49869782924652,-41.81575169563293,0.020642731,-0.00431978702545166,35.53721237182617,0.2,0.00025
18,36864,288,0.0776647,127,170,0.231201171875,-0.01178863579116296,1.025839924812317,48.2024649977684,-41.87020242214203,0.023794804,0.008433222770690918,11.933765411376953,0.2,0.00025
19,38912,303,2.480003,128,180,0.2142578125,-0.01518962694099173,1.0276975631713867,139.64455494880676,-41.90736658573151,0.022080012,0.001113295555114746,80.0981216430664,0.2,0.00025
20,40960,318,1.7902869,128,190,0.269677734375,-0.009861700533656403,1.030466914176941,22.762249904870988,-41.97294092178345,0.024537988,-0.004345417022705078,14.064098358154297,0.2,0.00025
21,43008,333,0.6210074,129,200,0.198828125,-0.014018439568462781,1.0317068099975586,156.51647372245787,-42.02853956222534,0.017999433,0.0075476765632629395,86.21541595458984,0.2,0.00025
22,45056,348,-1.7298162,129,210,0.205810546875,-0.015106216960703023,1.0329924821853638,37.07802927494049,-42.06415820121765,0.019234266,-0.007235407829284668,18.12721061706543,0.2,0.00025
23,47104,363,-1.4464843,129,220,0.213037109375,-0.012880361634597649,1.0338771343231201,108.78370175361633,-42.09968199729919,0.02153425,0.0008864402770996094,43.90250778198242,0.2,0.00025
24,49152,378,0.4468109,129,230,0.176708984375,-0.017190809651219753,1.0353425741195679,56.72976778745651,-42.1287442445755,0.016899116,-0.0392686128616333,25.795791625976562,0.2,0.00025
25,51200,394,-0.35781,129,240,0.2455078125,-0.01232839743315708,1.035742998123169,39.782027018070224,-42.15625169277191,0.028275693,-0.004617571830749512,21.946369171142578,0.2,0.00025
26,53248,410,1.7513577,129,250,0.11123046875,-0.013179419579682872,1.0356016159057617,64.3684597492218,-42.15945951938629,0.012311881,0.0048111677169799805,31.97808837890625,0.2,0.00025
27,55296,424,-0.2135786,130,260,0.170263671875,-0.014638634436414577,1.0371522903442383,24.308732759952544,-42.173773002624515,0.02032284,0.05700904130935669,12.938020706176758,0.2,0.00025
28,57344,439,0.3291488,130,270,0.20517578125,-0.006280166294891388,1.0376304388046265,62.425724148750305,-42.2105152130127,0.018167347,0.008116006851196289,26.290660858154297,0.2,0.00025
29,59392,454,-6.694341,130,280,0.20595703125,-0.021971404232317582,1.038210391998291,19.952180939912797,-42.2216493844986,0.020231776,-0.049878716468811035,9.033347129821777,0.2,0.00025
30,61440,469,-2.9164932,130,290,0.188427734375,-0.01368701706524007,1.0402053594589233,68.18514385223389,-42.256508231163025,0.016758192,-0.0023342370986938477,36.914390563964844,0.2,0.00025
31,63488,483,2.2053776,131,300,0.284130859375,-0.015302183965104632,1.0440117120742798,27.64759887456894,-42.334733390808104,0.029950242,0.02679586410522461,19.94457244873047,0.2,0.00025
32,65536,498,3.8788137,131,310,0.246728515625,-0.011022621495067142,1.0453888177871704,70.00343558788299,-42.407600378990175,0.03741754,0.0164833664894104,40.39341735839844,0.2,0.00025
33,67584,512,2.3279943,131,320,0.05146484375,-0.010091200764873066,1.0457199811935425,163.42130374908447,-42.43289468288422,0.006842992,0.018450617790222168,68.51131439208984,0.2,0.00025
34,69632,527,-0.48927897,131,330,0.22236328125,-0.013605362636735664,1.0453320741653442,101.59026124477387,-42.4270941734314,0.023515124,0.012093722820281982,59.56830596923828,0.2,0.00025
35,71680,542,0.14590868,132,340,0.181591796875,-0.006302661407971755,1.045844316482544,116.91340923309326,-42.43524398803711,0.017493576,0.03450512886047363,70.07828521728516,0.2,0.00025
36,73728,556,0.054029226,132,350,0.244287109375,-0.016424675384769216,1.0460195541381836,23.724305695295335,-42.43987374305725,0.020671993,0.0297585129737854,8.94714641571045,0.2,0.00025
37,75776,573,2.4301744,132,360,0.086767578125,-0.00842475738900248,1.0463225841522217,111.52805976867675,-42.45078530311584,0.009453988,0.03409320116043091,59.986083984375,0.2,0.00025
38,77824,587,-0.2492768,132,370,0.143896484375,-0.014415610529249534,1.0472471714019775,46.65019565820694,-42.46719136238098,0.016697256,-0.0025873184204101562,25.300512313842773,0.2,0.00025
39,79872,602,-1.5307556,132,380,0.075244140625,-0.010438292988692411,1.0468398332595825,164.78915519714354,-42.47172877788544,0.008394242,0.03567630052566528,110.70171356201172,0.2,0.00025
40,81920,617,-1.085905,132,390,0.21142578125,-0.01191001227562083,1.0480222702026367,53.24514691829681,-42.476841711997984,0.025204102,-0.006836056709289551,23.9348087310791,0.2,0.00025
41,83968,632,-3.7016973,132,400,0.2119140625,-0.013331889051187318,1.0507310628890991,127.01255114078522,-42.54472303390503,0.019447332,0.03408700227737427,56.66630554199219,0.2,0.00025
42,86016,646,3.456768,132,410,0.174755859375,-0.00794097415782744,1.0507696866989136,108.87671356201172,-42.5814085483551,0.022095025,0.03271758556365967,61.725067138671875,0.2,0.00025
43,88064,661,0.89786017,133,420,0.256494140625,-0.00813349555246532,1.053431749343872,63.327620804309845,-42.61395735740662,0.03287171,0.07209092378616333,39.84450149536133,0.2,0.00025
44,90112,676,0.08216711,133,430,0.12939453125,-0.011518024498946034,1.0538870096206665,97.93383221626281,-42.65742936134338,0.013960886,0.06999021768569946,41.11880111694336,0.2,0.00025
45,92160,691,0.6622904,133,440,0.285009765625,-0.01441959679214051,1.0547783374786377,21.07562631368637,-42.676276898384096,0.027069572,-0.05397343635559082,10.787605285644531,0.2,0.00025
46,94208,706,-0.25060624,133,450,0.26171875,-0.006181332003325224,1.0561202764511108,107.14793300628662,-42.710845136642455,0.024601424,0.030704617500305176,50.639976501464844,0.2,0.00025
47,96256,720,-0.6309734,133,460,0.2669921875,-0.006478336757572834,1.0569729804992676,47.25295063257217,-42.73524260520935,0.02548802,0.00844728946685791,16.906660079956055,0.2,0.00025
48,98304,735,-9.704368,133,470,0.247998046875,-0.010342766882968136,1.0576403141021729,123.57845797538758,-42.76061556339264,0.024143092,0.06853693723678589,48.27638626098633,0.2,0.00025
49,100352,750,0.75341666,133,480,0.216845703125,-0.0066718782763928175,1.0579086542129517,72.21677644252777,-42.765550231933595,0.027078234,0.026532411575317383,37.11796951293945,0.2,0.00025
50,102400,765,-4.769334,133,490,0.35322265625,-0.013851665030233561,1.0611263513565063,59.30029983520508,-42.81675796508789,0.03922586,0.07744288444519043,22.459320068359375,0.2,0.00025
51,104448,779,-0.50753784,133,500,0.207373046875,-0.01242871121794451,1.0622162818908691,72.1292273402214,-42.875405836105344,0.017808627,0.05818486213684082,43.52100372314453,0.2,0.00025
52,106496,794,-0.09389562,134,510,0.286376953125,-0.01957028167962562,1.0658233165740967,45.10910837650299,-42.94223549365997,0.02928227,0.010367512702941895,35.79203414916992,0.2,0.00025
53,108544,809,2.9619215,134,520,0.336328125,-0.0032949721586192026,1.068373680114746,66.61241216659546,-43.01241157054901,0.050941043,-0.10416090488433838,21.46949005126953,0.2,0.00025
54,110592,824,0.7647219,134,530,0.24365234375,-0.013611216907156632,1.071317195892334,18.272501832246782,-43.097541618347165,0.021581154,0.08206725120544434,11.299249649047852,0.2,0.00025
55,112640,838,-9.210132,134,540,0.231396484375,-0.01562264958920423,1.072128176689148,133.8639494419098,-43.14713065624237,0.02134148,0.05107462406158447,64.55171203613281,0.2,0.00025
56,114688,854,-0.5081776,134,550,0.203369140625,-0.007307427843625191,1.0731408596038818,39.842041802406314,-43.16839058399201,0.022599919,0.07442659139633179,15.603474617004395,0.2,0.00025
57,116736,869,-1.5948745,134,560,0.262939453125,-0.008947758830618113,1.0747498273849487,209.65152111053467,-43.20562841892242,0.028324923,0.011062204837799072,80.27394104003906,0.2,0.00025
58,118784,885,-1.1771884,134,570,0.250732421875,-0.010823958792025223,1.0755935907363892,81.2871220588684,-43.23727657794952,0.021662258,0.055471181869506836,32.01555633544922,0.2,0.00025
59,120832,899,-17.915869,134,580,0.27939453125,-0.005930782425275538,1.078177571296692,90.33189532756805,-43.28253726959228,0.02057159,0.07973247766494751,46.35930252075195,0.2,0.00025
60,122880,918,0.73847336,133,590,0.30537109375,-0.0027164530212758107,1.0809277296066284,165.8960970401764,-43.35447471141815,0.042237386,-0.014517903327941895,56.58747100830078,0.2,0.00025
61,124928,938,0.18419431,133,600,0.197314453125,-0.013852197240339592,1.0834907293319702,69.73305432796478,-43.42579300403595,0.024991253,0.01501697301864624,26.85207176208496,0.2,0.00025
62,126976,957,0.5970456,132,610,0.232421875,-0.006123326343367807,1.0860183238983154,149.25524725914002,-43.488825345039366,0.030194668,0.03248244524002075,82.9940185546875,0.2,0.00025
63,129024,977,-1.4933918,131,620,0.221142578125,-0.01680539498629514,1.0902550220489502,15.081907147169114,-43.58428332805634,0.022186846,0.07157337665557861,6.433041572570801,0.2,0.00025
64,131072,997,8.862026,131,630,0.249560546875,-0.006637834760476835,1.0907841920852661,238.27449769973754,-43.64979302883148,0.022996,0.01262575387954712,105.90876770019531,0.2,0.00025
65,133120,1018,-0.6055325,130,640,0.35458984375,-0.006216852247598581,1.0914359092712402,69.53138742446899,-43.677494168281555,0.052144945,-0.0010704994201660156,38.89980697631836,0.2,0.00025
66,135168,1041,-1.1306862,129,650,0.238232421875,-0.0104449084654334,1.0933102369308472,375.69175453186034,-43.68602397441864,0.02838286,0.011700332164764404,144.70095825195312,0.2,0.00025
67,137216,1060,0.9669006,129,660,0.25419921875,-0.016159878324833697,1.0951101779937744,149.8224633693695,-43.743447470664975,0.026607268,0.016852080821990967,106.26092529296875,0.2,0.00025
68,139264,1080,-1.450266,128,670,0.306396484375,-0.005242766665469389,1.0983049869537354,149.67877640724183,-43.808325338363645,0.029093718,0.0466577410697937,108.81378173828125,0.2,0.00025
69,141312,1100,3.1274748,128,680,0.289501953125,-0.008441868727095425,1.1005942821502686,405.212016582489,-43.874678182601926,0.034858994,0.005778849124908447,252.9242706298828,0.2,0.00025
70,143360,1121,1.4214641,127,690,0.30673828125,-0.008366775358445011,1.1008812189102173,107.85258605480195,-43.90762639045715,0.02358286,0.023685336112976074,44.36014175415039,0.2,0.00025
71,145408,1147,-1.1328701,126,700,0.1814453125,-0.009879232890671118,1.1030926704406738,433.81293029785155,-43.940862917900084,0.018976908,0.01755833625793457,292.4078674316406,0.2,0.00025
72,147456,1172,1.2490313,125,710,0.436083984375,0.004449757857946679,1.1073781251907349,29.97601557970047,-44.036088180541995,0.036235504,0.02666991949081421,12.931015968322754,0.2,0.00025
73,149504,1200,-12.114001,124,720,0.196484375,-0.006398748396895826,1.1098774671554565,310.8239764213562,-44.11766083240509,0.019364381,0.05488729476928711,119.88532257080078,0.2,0.00025
74,151552,1220,1.841977,124,730,0.187548828125,-0.011084025888703764,1.1105786561965942,45.09671975374222,-44.169891715049744,0.019254033,0.013562321662902832,25.47857093811035,0.2,0.00025
75,153600,1241,-0.47527513,123,740,0.16513671875,-0.009824296834995038,1.1116117238998413,262.77885003089904,-44.18576016426086,0.018310077,0.021891355514526367,120.30416870117188,0.2,0.00025
76,155648,1264,0.15500169,123,750,0.15478515625,-0.012468974987859838,1.111904501914978,175.1862322807312,-44.204045391082765,0.017601185,0.02585768699645996,112.13976287841797,0.2,0.00025
77,157696,1291,-3.2899017,122,760,0.204443359375,-0.004327388419187628,1.1133986711502075,130.0970095396042,-44.230756115913394,0.025783923,0.07546871900558472,72.12301635742188,0.2,0.00025
78,159744,1312,4.7894626,121,770,0.218359375,-0.0045825117122149095,1.1137973070144653,302.23527946472166,-44.25649263858795,0.030588526,0.01987367868423462,189.47731018066406,0.2,0.00025
79,161792,1327,0.53291696,121,780,0.353076171875,-0.005172984101227485,1.1153229475021362,76.02687907218933,-44.27793142795563,0.04059328,0.061140239238739014,35.57997131347656,0.2,0.00025
80,163840,1347,2.6904073,121,790,0.169921875,-0.0042200233845505865,1.1157342195510864,398.25390615463255,-44.30154294967652,0.018419148,0.07511603832244873,184.02606201171875,0.2,0.00025
81,165888,1368,-4.1960897,121,800,0.217919921875,-0.006385829890496098,1.116065502166748,41.30246553421021,-44.31359775066376,0.027083442,-0.1725834608078003,12.84368896484375,0.2,0.00025
82,167936,1386,-0.3505798,121,810,0.214501953125,-0.009357098453619983,1.1176871061325073,535.347198677063,-44.32979781627655,0.021105105,0.0009703636169433594,307.1505126953125,0.2,0.00025
83,169984,1402,3.1844,121,820,0.200634765625,-0.01016173968964722,1.1177401542663574,66.36018624305726,-44.36098809242249,0.024371032,0.0921330451965332,32.389427185058594,0.2,0.00025
84,172032,1418,-2.4524527,121,830,0.205224609375,-0.006713630379817914,1.119287133216858,306.15039739608767,-44.375655794143675,0.02367623,0.04601198434829712,84.8960952758789,0.2,0.00025
85,174080,1433,2.639617,121,840,0.211572265625,-0.0020802867715246976,1.1203726530075073,125.03766565322876,-44.411072278022765,0.02532702,0.03875929117202759,74.61202239990234,0.2,0.00025
86,176128,1448,1.4170018,121,850,0.263916015625,-0.005499068045173772,1.1219887733459473,81.06547610759735,-44.44401581287384,0.037752453,0.0270538330078125,28.528818130493164,0.2,0.00025
87,178176,1466,1.8829932,121,860,0.267724609375,-0.002641553751891479,1.123171091079712,165.75006155967714,-44.48698470592499,0.02290883,0.024293124675750732,68.0263442993164,0.2,0.00025
88,180224,1483,-1.5710679,121,870,0.3142578125,-0.002410361950751394,1.123884677886963,20.50438313484192,-44.501353931427005,0.044434465,0.013167858123779297,8.207091331481934,0.2,0.00025
89,182272,1498,2.2891312,121,880,0.2978515625,-0.008039041934534908,1.1257590055465698,146.35251860618592,-44.53944969177246,0.022560578,0.02725517749786377,84.64544677734375,0.2,0.00025
90,184320,1514,0.37275234,121,890,0.2576171875,-0.009508284187177196,1.1272199153900146,25.49899333715439,-44.58072116374969,0.03180435,-0.006162762641906738,11.371108055114746,0.2,0.00025
91,186368,1534,-38.531406,121,900,0.20302734375,-0.012012385393609293,1.1273674964904785,140.47709507942199,-44.60484731197357,0.018000135,0.08175468444824219,92.89236450195312,0.2,0.00025
92,188416,1555,-0.24273697,121,910,0.1841796875,-0.006186302754213102,1.1280674934387207,137.45308146476745,-44.611846351623534,0.016954228,0.03242993354797363,35.74797439575195,0.2,0.00025
93,190464,1575,-0.84836835,120,920,0.1921875,-0.003301637117692735,1.131017804145813,335.5446576118469,-44.65495548248291,0.033752456,0.03368508815765381,190.51429748535156,0.2,0.00025
94,192512,1594,0.5931342,120,930,0.2087890625,-0.011348325481230858,1.1331655979156494,228.98311262130738,-44.723096179962155,0.02227948,0.018462002277374268,129.19070434570312,0.2,0.00025
95,194560,1614,50.3488,120,940,0.255615234375,-0.011775804316857829,1.1364445686340332,157.1491359949112,-44.78960022926331,0.030214189,0.052902817726135254,86.83692932128906,0.2,0.00025
96,196608,1633,-2.3504753,120,950,0.394189453125,0.011505561633384787,1.1405457258224487,599.3239435195923,-44.88066475391388,0.055233363,0.001773238182067871,297.5057373046875,0.2,0.00025
97,198656,1659,-1.5714145,119,960,0.34033203125,-0.010019800980808213,1.1432788372039795,29.057746601104736,-44.98023188114166,0.033147104,0.26371878385543823,12.385869026184082,0.2,0.00025
98,200704,1679,-18.160316,119,970,0.328564453125,0.016040177244576626,1.1452480554580688,682.105820274353,-45.03225269317627,0.039450437,0.04046541452407837,289.6986389160156,0.2,0.00025
